"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-01 17:00","2019","03","01","17:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-01 18:00","2019","03","01","18:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-01 19:00","2019","03","01","19:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-01 20:00","2019","03","01","20:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-01 21:00","2019","03","01","21:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-01 22:00","2019","03","01","22:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-01 23:00","2019","03","01","23:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-02 00:00","2019","03","02","00:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-02 01:00","2019","03","02","01:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-02 02:00","2019","03","02","02:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-02 03:00","2019","03","02","03:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-02 04:00","2019","03","02","04:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-02 05:00","2019","03","02","05:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-02 06:00","2019","03","02","06:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-02 07:00","2019","03","02","07:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-02 08:00","2019","03","02","08:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-02 09:00","2019","03","02","09:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-02 10:00","2019","03","02","10:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-02 11:00","2019","03","02","11:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-02 12:00","2019","03","02","12:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-02 13:00","2019","03","02","13:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-02 14:00","2019","03","02","14:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-02 15:00","2019","03","02","15:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-02 16:00","2019","03","02","16:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-02 17:00","2019","03","02","17:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-02 18:00","2019","03","02","18:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-02 19:00","2019","03","02","19:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-02 20:00","2019","03","02","20:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-02 21:00","2019","03","02","21:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-02 22:00","2019","03","02","22:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-02 23:00","2019","03","02","23:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-03 00:00","2019","03","03","00:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-03 01:00","2019","03","03","01:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-03 02:00","2019","03","03","02:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-03 03:00","2019","03","03","03:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-03 04:00","2019","03","03","04:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-03 05:00","2019","03","03","05:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-03 06:00","2019","03","03","06:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-03 07:00","2019","03","03","07:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-03 08:00","2019","03","03","08:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-03 09:00","2019","03","03","09:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-03 10:00","2019","03","03","10:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-03 11:00","2019","03","03","11:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-03 12:00","2019","03","03","12:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-03 13:00","2019","03","03","13:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-03 14:00","2019","03","03","14:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-03 15:00","2019","03","03","15:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-03 16:00","2019","03","03","16:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-03 17:00","2019","03","03","17:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-03 18:00","2019","03","03","18:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-03 19:00","2019","03","03","19:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-03 20:00","2019","03","03","20:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-03 21:00","2019","03","03","21:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-03 22:00","2019","03","03","22:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-03 23:00","2019","03","03","23:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-04 00:00","2019","03","04","00:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-04 01:00","2019","03","04","01:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-04 02:00","2019","03","04","02:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-04 03:00","2019","03","04","03:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-04 04:00","2019","03","04","04:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-04 05:00","2019","03","04","05:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-04 06:00","2019","03","04","06:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-04 07:00","2019","03","04","07:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-04 08:00","2019","03","04","08:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-04 09:00","2019","03","04","09:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-04 10:00","2019","03","04","10:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-04 11:00","2019","03","04","11:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-04 12:00","2019","03","04","12:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-04 13:00","2019","03","04","13:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-04 14:00","2019","03","04","14:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-04 15:00","2019","03","04","15:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-04 16:00","2019","03","04","16:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-04 17:00","2019","03","04","17:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-04 18:00","2019","03","04","18:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-04 19:00","2019","03","04","19:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-04 20:00","2019","03","04","20:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-04 21:00","2019","03","04","21:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-04 22:00","2019","03","04","22:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-04 23:00","2019","03","04","23:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-05 00:00","2019","03","05","00:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-05 01:00","2019","03","05","01:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-05 02:00","2019","03","05","02:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-05 03:00","2019","03","05","03:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-05 04:00","2019","03","05","04:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-05 05:00","2019","03","05","05:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-05 06:00","2019","03","05","06:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-05 07:00","2019","03","05","07:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-05 08:00","2019","03","05","08:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-05 09:00","2019","03","05","09:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-05 10:00","2019","03","05","10:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-05 11:00","2019","03","05","11:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-05 12:00","2019","03","05","12:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-05 13:00","2019","03","05","13:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-05 14:00","2019","03","05","14:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-05 15:00","2019","03","05","15:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-05 16:00","2019","03","05","16:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-05 17:00","2019","03","05","17:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-05 18:00","2019","03","05","18:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-05 19:00","2019","03","05","19:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-05 20:00","2019","03","05","20:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-05 21:00","2019","03","05","21:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-05 22:00","2019","03","05","22:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-05 23:00","2019","03","05","23:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-06 00:00","2019","03","06","00:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-06 01:00","2019","03","06","01:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-06 02:00","2019","03","06","02:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-06 03:00","2019","03","06","03:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-06 04:00","2019","03","06","04:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-06 05:00","2019","03","06","05:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-06 06:00","2019","03","06","06:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-06 07:00","2019","03","06","07:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-06 08:00","2019","03","06","08:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-06 09:00","2019","03","06","09:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-06 10:00","2019","03","06","10:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-06 11:00","2019","03","06","11:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-06 12:00","2019","03","06","12:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-06 13:00","2019","03","06","13:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-06 14:00","2019","03","06","14:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-06 15:00","2019","03","06","15:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-06 16:00","2019","03","06","16:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-06 17:00","2019","03","06","17:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-06 18:00","2019","03","06","18:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-06 19:00","2019","03","06","19:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-06 20:00","2019","03","06","20:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-06 21:00","2019","03","06","21:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-06 22:00","2019","03","06","22:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-06 23:00","2019","03","06","23:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-07 00:00","2019","03","07","00:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-07 01:00","2019","03","07","01:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-07 02:00","2019","03","07","02:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-07 03:00","2019","03","07","03:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-07 04:00","2019","03","07","04:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-07 05:00","2019","03","07","05:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-07 06:00","2019","03","07","06:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-07 07:00","2019","03","07","07:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-07 08:00","2019","03","07","08:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-07 09:00","2019","03","07","09:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-07 10:00","2019","03","07","10:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-07 11:00","2019","03","07","11:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-07 12:00","2019","03","07","12:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-07 13:00","2019","03","07","13:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-07 14:00","2019","03","07","14:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-07 15:00","2019","03","07","15:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-07 16:00","2019","03","07","16:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-07 17:00","2019","03","07","17:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-07 18:00","2019","03","07","18:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-07 19:00","2019","03","07","19:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-07 20:00","2019","03","07","20:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-07 21:00","2019","03","07","21:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-07 22:00","2019","03","07","22:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-07 23:00","2019","03","07","23:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-08 00:00","2019","03","08","00:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-08 01:00","2019","03","08","01:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-08 02:00","2019","03","08","02:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-08 03:00","2019","03","08","03:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-08 04:00","2019","03","08","04:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-08 05:00","2019","03","08","05:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-08 06:00","2019","03","08","06:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-08 07:00","2019","03","08","07:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-08 08:00","2019","03","08","08:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-08 09:00","2019","03","08","09:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-08 10:00","2019","03","08","10:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-08 11:00","2019","03","08","11:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-08 12:00","2019","03","08","12:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-08 13:00","2019","03","08","13:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-08 14:00","2019","03","08","14:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-08 15:00","2019","03","08","15:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-08 16:00","2019","03","08","16:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-08 17:00","2019","03","08","17:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-08 18:00","2019","03","08","18:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-08 19:00","2019","03","08","19:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-08 20:00","2019","03","08","20:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-08 21:00","2019","03","08","21:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-08 22:00","2019","03","08","22:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-08 23:00","2019","03","08","23:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-09 00:00","2019","03","09","00:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-09 01:00","2019","03","09","01:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-09 02:00","2019","03","09","02:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-09 03:00","2019","03","09","03:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-09 04:00","2019","03","09","04:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-09 05:00","2019","03","09","05:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-09 06:00","2019","03","09","06:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-09 07:00","2019","03","09","07:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-09 08:00","2019","03","09","08:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-09 09:00","2019","03","09","09:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-09 10:00","2019","03","09","10:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-09 11:00","2019","03","09","11:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-09 12:00","2019","03","09","12:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-09 13:00","2019","03","09","13:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-09 14:00","2019","03","09","14:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-09 15:00","2019","03","09","15:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-09 16:00","2019","03","09","16:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-09 17:00","2019","03","09","17:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-09 18:00","2019","03","09","18:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-09 19:00","2019","03","09","19:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-09 20:00","2019","03","09","20:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-09 21:00","2019","03","09","21:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-09 22:00","2019","03","09","22:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-09 23:00","2019","03","09","23:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-10 00:00","2019","03","10","00:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-10 01:00","2019","03","10","01:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-10 02:00","2019","03","10","02:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-10 03:00","2019","03","10","03:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-10 04:00","2019","03","10","04:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-10 05:00","2019","03","10","05:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-10 06:00","2019","03","10","06:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-10 07:00","2019","03","10","07:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-10 08:00","2019","03","10","08:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-10 09:00","2019","03","10","09:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-10 10:00","2019","03","10","10:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-10 11:00","2019","03","10","11:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-10 12:00","2019","03","10","12:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-10 13:00","2019","03","10","13:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-10 14:00","2019","03","10","14:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-10 15:00","2019","03","10","15:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-10 16:00","2019","03","10","16:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-10 17:00","2019","03","10","17:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-10 18:00","2019","03","10","18:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-10 19:00","2019","03","10","19:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-10 20:00","2019","03","10","20:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-10 21:00","2019","03","10","21:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-10 22:00","2019","03","10","22:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-10 23:00","2019","03","10","23:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-11 00:00","2019","03","11","00:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-11 01:00","2019","03","11","01:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-11 02:00","2019","03","11","02:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-11 03:00","2019","03","11","03:00"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2019-03-11 04:00","2019","03","11","04:00"
