"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-02 11:00","2019","04","02","11:00","4.4","","-9.2","","36","","0.0","","23","","26","","","","102.38","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-02 12:00","2019","04","02","12:00","6.0","","-9.1","","33","","0.0","","23","","19","","","","102.33","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-02 13:00","2019","04","02","13:00","7.1","","-9.6","","29","","0.0","","22","","23","","","","102.28","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-02 14:00","2019","04","02","14:00","7.7","","-11.1","","25","","0.0","","22","","23","","","","102.25","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-02 15:00","2019","04","02","15:00","8.2","","-11.5","","23","","0.0","","21","","25","","","","102.23","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-02 16:00","2019","04","02","16:00","8.0","","-7.5","","32","","0.0","","18","","26","","","","102.22","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-02 17:00","2019","04","02","17:00","6.8","","-5.9","","40","","0.0","","18","","32","","","","102.24","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-02 18:00","2019","04","02","18:00","5.2","","-4.8","","48","","0.0","","17","","27","","","","102.29","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-02 19:00","2019","04","02","19:00","3.6","","-4.4","","56","","0.0","","18","","22","","","","102.44","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-02 20:00","2019","04","02","20:00","2.7","","-3.7","","63","","0.0","","17","","18","","","","102.50","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-02 21:00","2019","04","02","21:00","1.9","","-3.5","","68","","0.0","","17","","17","","","","102.49","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-02 22:00","2019","04","02","22:00","1.2","","-3.0","","73","","0.0","","15","","13","","","","102.49","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-02 23:00","2019","04","02","23:00","0.5","","-3.0","","77","","0.0","","16","","9","","","","102.48","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-03 00:00","2019","04","03","00:00","0.1","","-2.3","","84","","0.0","","14","","11","","","","102.43","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-03 01:00","2019","04","03","01:00","-0.3","","-2.2","","87","","0.0","","13","","10","","","","102.37","","","","-4","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-03 02:00","2019","04","03","02:00","-0.1","","-2.0","","87","","0.0","","12","","11","","","","102.21","","","","-4","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-03 03:00","2019","04","03","03:00","-0.5","","-2.1","","89","","0.0","","12","","8","","","","102.14","","","","-3","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-03 04:00","2019","04","03","04:00","-0.8","","-2.5","","88","","0.0","","5","","3","","","","102.07","","","","-2","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-03 05:00","2019","04","03","05:00","-0.8","","-2.4","","89","","0.0","","7","","4","","","","101.98","","","","-2","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-03 06:00","2019","04","03","06:00","-0.4","","-2.7","","84","","0.0","","3","","4","","","","101.79","","","","-2","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-03 07:00","2019","04","03","07:00","-0.1","","-2.8","","82","","0.0","","6","","3","","","","101.73","","","","-1","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-03 08:00","2019","04","03","08:00","-0.9","","-1.9","","93","","0.0","","35","","6","","","","101.62","","","","-3","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-03 09:00","2019","04","03","09:00","-1.1","","-1.6","","96","","1.5","","34","","8","","","","101.39","","","","-4","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-03 10:00","2019","04","03","10:00","-0.6","","-1.2","","96","","1.1","","2","","7","","","","101.17","","","","-3","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-03 11:00","2019","04","03","11:00","-0.5","","-0.9","","97","","2.1","","35","","13","","","","100.76","","","","-5","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-03 12:00","2019","04","03","12:00","-0.2","","-0.5","","98","","6.0","","36","","17","","","","100.33","","","","-5","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-03 13:00","2019","04","03","13:00","-0.2","","-0.4","","98","","4.5","","36","","19","","","","100.06","","","","-5","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-03 14:00","2019","04","03","14:00","0.0","","-0.2","","99","","3.8","","35","","21","","","","99.77","","","","-5","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-03 15:00","2019","04","03","15:00","0.3","","0.1","","99","","2.0","","34","","27","","","","99.58","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-03 16:00","2019","04","03","16:00","0.5","","0.3","","99","","0.3","","35","","17","","","","99.37","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-03 17:00","2019","04","03","17:00","0.8","","0.6","","98","","0.0","","30","","23","","","","99.38","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-03 18:00","2019","04","03","18:00","1.1","","0.7","","97","","0.0","","30","","22","","","","99.43","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-03 19:00","2019","04","03","19:00","1.4","","0.7","","95","","0.0","","29","","24","","","","99.51","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-03 20:00","2019","04","03","20:00","1.1","","-0.3","","91","","0.0","","27","","19","","","","99.62","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-03 21:00","2019","04","03","21:00","1.2","","0.2","","93","","0.0","","27","","19","","","","99.68","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-03 22:00","2019","04","03","22:00","1.8","","0.2","","89","","0.0","","26","","22","","","","99.67","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-03 23:00","2019","04","03","23:00","2.1","","-0.8","","81","","0.0","","26","","25","","","","99.76","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-04 00:00","2019","04","04","00:00","1.7","","-1.0","","82","","0.0","","25","","20","","","","99.80","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-04 01:00","2019","04","04","01:00","1.9","","-2.0","","75","","0.0","","26","","22","","","","99.89","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-04 02:00","2019","04","04","02:00","1.6","","-3.7","","68","","0.0","","26","","28","","","","100.01","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-04 03:00","2019","04","04","03:00","0.9","","-4.9","","65","","0.0","","27","","28","","","","100.11","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-04 04:00","2019","04","04","04:00","0.2","","-5.9","","64","","0.0","","26","","26","","","","100.21","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-04 05:00","2019","04","04","05:00","-0.6","","-7.0","","62","","0.0","","26","","24","","","","100.28","","","","-7","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-04 06:00","2019","04","04","06:00","-1.4","","-8.4","","59","","0.0","","26","","25","","","","100.39","","","","-8","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-04 07:00","2019","04","04","07:00","-1.6","","-9.3","","55","","0.0","","26","","24","","","","100.47","","","","-8","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-04 08:00","2019","04","04","08:00","-1.3","","-9.1","","55","","0.0","","27","","26","","","","100.53","","","","-8","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-04 09:00","2019","04","04","09:00","-0.6","","-10.9","","45","","0.0","","26","","35","","","","100.52","","","","-8","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-04 10:00","2019","04","04","10:00","-0.4","","-11.2","","44","","0.0","","28","","34","","","","100.58","","","","-7","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-04 11:00","2019","04","04","11:00","0.0","","-10.2","","46","","0.0","","27","","41","","","","100.62","","","","-7","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-04 12:00","2019","04","04","12:00","0.1","","-11.1","","43","","0.0","","28","","45","","","","100.62","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-04 13:00","2019","04","04","13:00","-0.1","","-11.7","","41","","0.0","","28","","47","","","","100.61","","","","-8","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-04 14:00","2019","04","04","14:00","0.0","","-12.1","","40","","0.0","","28","","43","","","","100.64","","","","-8","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-04 15:00","2019","04","04","15:00","0.2","","-12.3","","38","","0.0","","28","","43","","","","100.73","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-04 16:00","2019","04","04","16:00","0.8","","-12.1","","37","","0.0","","28","","43","","","","100.74","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-04 17:00","2019","04","04","17:00","0.2","","-12.4","","38","","0.0","","28","","42","","","","100.86","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-04 18:00","2019","04","04","18:00","-0.4","","-12.0","","41","","0.0","","29","","36","","","","100.95","","","","-8","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-04 19:00","2019","04","04","19:00","-1.1","","-12.6","","41","","0.0","","29","","25","","","","101.07","","","","-7","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-04 20:00","2019","04","04","20:00","-1.0","","-12.3","","42","","0.0","","29","","36","","","","101.15","","","","-8","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-04 21:00","2019","04","04","21:00","-1.4","","-12.1","","44","","0.0","","29","","41","","","","101.25","","","","-9","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-04 22:00","2019","04","04","22:00","-1.9","","-12.0","","46","","0.0","","30","","40","","","","101.33","","","","-10","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-04 23:00","2019","04","04","23:00","-2.2","","-10.6","","53","","0.0","","30","","38","","","","101.44","","","","-10","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-05 00:00","2019","04","05","00:00","-2.7","","-10.7","","54","","0.0","","31","","35","","","","101.53","","","","-11","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-05 01:00","2019","04","05","01:00","-3.1","","-10.7","","56","","0.0","","30","","34","","","","101.62","","","","-11","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-05 02:00","2019","04","05","02:00","-3.6","","-10.9","","57","","0.0","","30","","24","","","","101.70","","","","-10","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-05 03:00","2019","04","05","03:00","-3.8","","-12.6","","51","","0.0","","30","","32","","","","101.79","","","","-12","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-05 04:00","2019","04","05","04:00","-4.5","","-14.1","","47","","0.0","","30","","30","","","","101.85","","","","-12","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-05 05:00","2019","04","05","05:00","-4.9","","-14.8","","46","","0.0","","30","","28","","","","101.94","","","","-13","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-05 06:00","2019","04","05","06:00","-5.1","","-15.1","","45","","0.0","","31","","25","","","","102.03","","","","-12","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-05 07:00","2019","04","05","07:00","-5.2","","-15.0","","46","","0.0","","31","","21","","","","102.12","","","","-12","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-05 08:00","2019","04","05","08:00","-4.6","","-14.8","","45","","0.0","","30","","23","","","","102.19","","","","-12","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-05 09:00","2019","04","05","09:00","-3.8","","-14.7","","42","","0.0","","29","","22","","","","102.27","","","","-10","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-05 10:00","2019","04","05","10:00","-2.8","","-15.7","","36","","0.0","","28","","23","","","","102.36","","","","-9","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-05 11:00","2019","04","05","11:00","-1.7","","-15.6","","34","","0.0","","29","","24","","","","102.39","","","","-8","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-05 12:00","2019","04","05","12:00","-0.6","","-15.7","","31","","0.0","","30","","24","","","","102.38","","","","-7","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-05 13:00","2019","04","05","13:00","0.9","","-14.0","","32","","0.0","","30","","20","","","","102.32","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-05 14:00","2019","04","05","14:00","1.9","","-15.9","","25","","0.0","","29","","22","","","","102.27","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-05 15:00","2019","04","05","15:00","2.8","","-14.1","","27","","0.0","","29","","20","","","","102.22","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-05 16:00","2019","04","05","16:00","3.9","","-15.2","","23","","0.0","","27","","16","","","","102.16","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-05 17:00","2019","04","05","17:00","4.4","","-15.4","","22","","0.0","","27","","19","","","","102.13","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-05 18:00","2019","04","05","18:00","4.0","","-14.9","","24","","0.0","","25","","6","","","","102.14","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-05 19:00","2019","04","05","19:00","1.9","","-11.0","","38","","0.0","","20","","6","","","","102.07","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-05 20:00","2019","04","05","20:00","0.9","","-8.6","","49","","0.0","","20","","5","","","","102.08","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-05 21:00","2019","04","05","21:00","1.3","","-12.1","","36","","0.0","","21","","8","","","","102.06","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-05 22:00","2019","04","05","22:00","0.9","","-11.9","","38","","0.0","","18","","5","","","","102.02","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-05 23:00","2019","04","05","23:00","0.3","","-10.3","","45","","0.0","","18","","10","","","","101.99","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-06 00:00","2019","04","06","00:00","0.2","","-10.7","","44","","0.0","","17","","7","","","","101.94","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-06 01:00","2019","04","06","01:00","0.0","","-8.3","","54","","0.0","","17","","11","","","","101.86","","","","-4","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-06 02:00","2019","04","06","02:00","0.5","","-7.9","","53","","0.0","","18","","9","","","","101.78","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-06 03:00","2019","04","06","03:00","0.3","","-3.7","","75","","0.0","","23","","14","","","","101.73","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-06 04:00","2019","04","06","04:00","-0.8","","-1.9","","93","","0.0","","18","","10","","","","101.65","","","","-4","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-06 05:00","2019","04","06","05:00","-1.0","","-1.4","","97","","0.7","","15","","10","","","","101.56","","","","-5","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-06 06:00","2019","04","06","06:00","-0.7","","-1.1","","97","","0.2","","16","","10","","","","101.50","","","","-4","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-06 07:00","2019","04","06","07:00","0.4","","-0.3","","95","","0.0","","19","","10","","","","101.46","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-06 08:00","2019","04","06","08:00","0.8","","0.0","","94","","0.3","","20","","11","","","","101.43","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-06 09:00","2019","04","06","09:00","1.3","","0.2","","93","","0.5","","22","","14","","","","101.38","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-06 10:00","2019","04","06","10:00","2.2","","0.7","","90","","0.0","","22","","14","","","","101.35","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-06 11:00","2019","04","06","11:00","2.5","","1.0","","90","","0.3","","21","","16","","","","101.32","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-06 12:00","2019","04","06","12:00","2.9","","1.4","","90","","0.3","","22","","13","","","","101.27","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-06 13:00","2019","04","06","13:00","3.9","","1.8","","87","","0.0","","23","","11","","","","101.22","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-06 14:00","2019","04","06","14:00","5.2","","1.6","","78","","0.0","","26","","17","","","","101.16","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-06 15:00","2019","04","06","15:00","5.7","","2.1","","78","","0.0","","26","","14","","","","101.12","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-06 16:00","2019","04","06","16:00","6.4","","1.6","","71","","0.0","","28","","18","","","","101.08","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-06 17:00","2019","04","06","17:00","6.5","","1.8","","72","","0.0","","25","","16","","","","101.07","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-06 18:00","2019","04","06","18:00","7.0","","1.4","","68","","0.0","","29","","13","","","","101.12","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-06 19:00","2019","04","06","19:00","5.9","","0.3","","68","","0.0","","29","","11","","","","101.19","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-06 20:00","2019","04","06","20:00","5.6","","-0.5","","65","","0.0","","27","","16","","","","101.27","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-06 21:00","2019","04","06","21:00","4.2","","-0.9","","69","","0.0","","26","","16","","","","101.31","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-06 22:00","2019","04","06","22:00","4.1","","-1.2","","68","","0.0","","28","","17","","","","101.33","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-06 23:00","2019","04","06","23:00","3.1","","-1.5","","72","","0.0","","28","","13","","","","101.37","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-07 00:00","2019","04","07","00:00","2.3","","-1.6","","75","","0.0","","26","","12","","","","101.42","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-07 01:00","2019","04","07","01:00","2.1","","-1.6","","76","","0.0","","27","","16","","","","101.43","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-07 02:00","2019","04","07","02:00","2.0","","-1.6","","77","","0.0","","28","","16","","","","101.43","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-07 03:00","2019","04","07","03:00","1.7","","-1.4","","80","","0.0","","28","","16","","","","101.41","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-04-07 04:00","2019","04","07","04:00","1.5","","-1.5","","81","","0.0","","27","","18","","","","101.44","","","","","","NA"
