"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-01 00:00","2018","03","01","00:00","-9.4","","-11.9","","82","","0.0","","20","","8","","16.1","","92.92","","","","-14","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-01 01:00","2018","03","01","01:00","-9.6","","-12.2","","81","","0.0","","20","","4","","16.1","","92.92","","","","-12","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-01 02:00","2018","03","01","02:00","-12.0","","-13.0","","93","","0.0","","2","","8","","16.1","","92.91","","","","-17","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-01 03:00","2018","03","01","03:00","-12.9","","-14.1","","91","","0.0","","35","","11","","16.1","","92.88","","","","-19","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-01 04:00","2018","03","01","04:00","-13.3","","-15.0","","87","","0.0","","36","","15","","16.1","","92.85","","","","-21","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-01 05:00","2018","03","01","05:00","-13.5","","-15.2","","87","","0.0","","3","","9","","16.1","","92.86","","","","-19","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-01 06:00","2018","03","01","06:00","-14.2","","-16.2","","85","","0.0","","36","","13","","16.1","","92.87","","","","-21","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-01 07:00","2018","03","01","07:00","-13.9","","-16.1","","84","","0.0","","1","","11","","16.1","","92.90","","","","-20","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-01 08:00","2018","03","01","08:00","-12.9","","-15.1","","84","","0.0","","35","","15","","16.1","","92.93","","","","-20","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-01 09:00","2018","03","01","09:00","-10.8","","-13.5","","81","","0.0","","36","","11","","16.1","","92.93","","","","-17","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-01 10:00","2018","03","01","10:00","-9.2","","-11.9","","81","","0.0","","36","","9","","16.1","","92.95","","","","-14","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-01 11:00","2018","03","01","11:00","-4.8","","-9.3","","71","","0.0","","4","","9","","16.1","","92.93","","","","-9","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-01 12:00","2018","03","01","12:00","-3.9","","-8.6","","70","","0.0","","2","","13","","16.1","","92.94","","","","-9","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-01 13:00","2018","03","01","13:00","-2.5","","-7.3","","70","","0.0","","7","","18","","16.1","","92.92","","","","-8","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-01 14:00","2018","03","01","14:00","-1.5","","-6.1","","71","","0.0","","7","","15","","16.1","","92.91","","","","-6","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-01 15:00","2018","03","01","15:00","0.0","","-4.6","","71","","0.0","","7","","15","","16.1","","92.91","","","","-4","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-01 16:00","2018","03","01","16:00","-0.5","","-5.1","","71","","0.0","","7","","24","","16.1","","92.92","","","","-6","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-01 17:00","2018","03","01","17:00","-1.5","","-5.6","","74","","0.0","","6","","21","","16.1","","92.91","","","","-7","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-01 18:00","2018","03","01","18:00","-2.5","","-6.3","","75","","0.0","","7","","22","","16.1","","92.91","","","","-9","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-01 19:00","2018","03","01","19:00","-3.8","","-7.1","","78","","0.0","","7","","24","","16.1","","92.93","","","","-11","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-01 20:00","2018","03","01","20:00","-3.6","","-7.6","","74","","0.0","","8","","28","","16.1","","92.98","","","","-11","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-01 21:00","2018","03","01","21:00","-4.8","","-7.1","","84","","0.0","","7","","18","","16.1","","93.00","","","","-11","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-01 22:00","2018","03","01","22:00","-4.3","","-7.3","","80","","0.0","","7","","17","","16.1","","93.02","","","","-10","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-01 23:00","2018","03","01","23:00","-5.3","","-7.8","","83","","0.0","","6","","24","","16.1","","92.95","","","","-13","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-02 00:00","2018","03","02","00:00","-5.2","","-8.1","","80","","0.0","","7","","21","","16.1","","92.93","","","","-12","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-02 01:00","2018","03","02","01:00","-5.1","","-8.2","","79","","0.0","","7","","17","","16.1","","92.96","","","","-11","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-02 02:00","2018","03","02","02:00","-6.2","","-8.7","","83","","0.0","","7","","17","","16.1","","92.93","","","","-12","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-02 03:00","2018","03","02","03:00","-6.2","","-8.6","","83","","0.0","","10","","11","","16.1","","92.94","","","","-11","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-02 04:00","2018","03","02","04:00","-5.7","","-8.4","","82","","0.0","","7","","17","","16.1","","92.87","","","","-12","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-02 05:00","2018","03","02","05:00","-5.4","","-8.1","","81","","0.0","","6","","30","","16.1","","92.84","","","","-14","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-02 06:00","2018","03","02","06:00","-5.6","","-8.4","","81","","0.0","","5","","18","","16.1","","92.92","","","","-12","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-02 07:00","2018","03","02","07:00","-5.3","","-8.4","","79","","0.0","","5","","26","","16.1","","92.82","","","","-13","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-02 08:00","2018","03","02","08:00","-5.2","","-8.6","","77","","0.0","","7","","34","","16.1","","92.82","","","","-14","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-02 09:00","2018","03","02","09:00","-4.5","","-8.2","","75","","0.0","","7","","22","","16.1","","92.82","","","","-11","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-02 10:00","2018","03","02","10:00","-3.6","","-7.7","","74","","0.0","","4","","24","","16.1","","92.87","","","","-10","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-02 11:00","2018","03","02","11:00","-2.1","","-7.0","","69","","0.0","","5","","21","","16.1","","92.90","","","","-8","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-02 12:00","2018","03","02","12:00","-2.0","","-7.2","","68","","0.0","","8","","26","","16.1","","92.89","","","","-9","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-02 13:00","2018","03","02","13:00","-3.0","","-7.0","","74","","0.0","","6","","22","","16.1","","92.82","","","","-9","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-02 14:00","2018","03","02","14:00","-2.3","","-6.2","","75","","0.0","","7","","21","","16.1","","92.75","","","","-8","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-02 15:00","2018","03","02","15:00","-2.5","","-6.2","","76","","0.0","","6","","22","","16.1","","92.77","","","","-9","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-02 16:00","2018","03","02","16:00","-2.7","","-5.7","","80","","0.0","","6","","30","","16.1","","92.68","","","","-10","","Snow"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-02 17:00","2018","03","02","17:00","-2.7","","-5.0","","84","","0.0","","5","","18","","16.1","","92.81","","","","-8","","Snow"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-02 18:00","2018","03","02","18:00","-3.1","","-5.1","","86","","0.0","","7","","26","","16.1","","92.79","","","","-10","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-02 19:00","2018","03","02","19:00","-3.1","","-4.8","","88","","0.0","","7","","30","","16.1","","92.84","","","","-11","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-02 20:00","2018","03","02","20:00","-2.8","","-4.7","","87","","0.0","","8","","22","","16.1","","92.84","","","","-9","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-02 21:00","2018","03","02","21:00","-1.6","","-4.6","","80","","0.0","","10","","22","","16.1","","92.83","","","","-8","","NA"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-02 22:00","2018","03","02","22:00","-2.3","","-3.9","","89","","0.0","","11","","21","","1.6","","92.82","","","","-8","","Snow"
"-110.72","50.02","MEDICINE HAT","3034479","2018-03-02 23:00","2018","03","02","23:00","-2.4","","-4.8","","83","","0.2","","12","","26","","8.1","","92.79","","","","-9","","Snow"
